XH,2021-01-01,2022-01-01
202122802003,1762.3400000000001,4354.05
202122802004,1933.45,3470.95
202122802005,663.97,4164.85
202122802006,1915.8,3182.18
202122802007,1044.0,2261.83
202122802008,310.02,4546.47
202122802009,1278.5,2519.1
202122802010,0.0,3362.25
202122802011,320.35,3139.64
202122802012,372.8,5455.8
202122802013,2038.3,1977.4
202122802014,142.88,4433.81
202122802015,1945.4,1613.98
202122802016,2150.5,2971.64
202122802017,1286.9,2367.9
202122802018,2649.46,4137.7
202122802019,1903.01,4085.34
202122802020,2688.42,5181.32
202122802021,1703.69,3572.9
202122802022,2491.0,5513.26
202122802023,1652.55,3640.5
202122802024,2279.9,2336.5
202122802025,163.6,3827.87
202122802026,287.78000000000003,3785.42
202122802027,2037.37,3547.81
202122802028,1513.6,3135.25
202122802029,49.0,2842.78
202122802030,2315.6,5073.67
202122802031,2055.08,4684.39
202122802032,2072.51,4369.92
202122802033,2263.1,3766.96
202122802034,1745.38,4167.85
202122802035,2092.15,2510.2599999999998
202122802036,0.0,1869.58
202122802037,1898.77,3332.14
202122802038,1690.2,2825.12
202122802039,1300.5,3677.48
202122802040,2685.8,4580.17
202122802041,302.97,3920.52
202122802042,2220.44,2457.89
202122802043,694.57,3447.27
202122802044,1799.2,4216.6
202122802045,1614.2,4083.93
202122802046,1143.47,3726.51
202122802047,1508.4,3070.0
202122802048,563.6,1791.0
202122802049,1267.6,4111.99
202122802050,1189.8,3255.38
202122802051,2474.71,3533.67
202122802052,1886.62,1686.6
202122802053,2888.83,3296.47
202122802054,1195.87,3199.9
202122802055,1319.84,3282.15
202122802056,2354.12,3547.91
202122802057,2648.33,2950.44
202122802058,1306.87,3221.23
202122802059,1824.01,3619.09
202132803001,649.39,0.0
202132803002,372.0,4184.78
202132803003,77.5,98.2
202132803004,2403.55,3790.1
202132803005,1532.67,4170.7
202132803006,2433.54,3805.4
202132803007,49.5,2794.21
202132803008,2163.0,1708.67
202132803009,2171.08,66.0
202132803010,1647.8,4203.9
202132803011,2777.0,5405.8
202132803012,208.77,4909.4
202132803013,1731.22,3423.73
202132803014,1835.82,3865.36
202132803015,0.0,4107.9
202132803016,1679.03,2723.29
202132803017,1786.39,1917.66
202132803018,1261.34,3186.4
202132803019,1950.37,3899.69
202132803020,1766.42,3629.22
202132803021,1814.27,3175.47
202132803022,1947.3,5562.28
202132803023,373.18,0.0
202132803024,2142.9,4320.46
202132803025,513.4,0.0
202132803027,2558.64,4325.66
202132803028,1731.3,1074.3
202132803029,1305.5,2268.96
202132803030,1748.0,2977.17
202132803031,43.5,3875.09
202132803032,1698.66,4608.63
202132803033,346.6,1752.31
202132803034,1451.6,5146.44
202132803035,464.34,0.0
202132803036,1359.97,4469.74
202132803037,1804.02,1282.23
202132803038,1612.3,3412.9
202132803039,2049.04,4880.4
202132803040,1565.3,1940.65
202132803041,0.0,4059.2
202132803042,375.8,0.0
202132803043,120.8,1768.06
202132803044,1951.1,3887.26
202132803045,0.0,3623.2
202132803046,1886.17,4245.51
202132803047,1820.3,4802.1
202132803048,1541.39,3616.4700000000003
202132803049,581.7,0.0
202132803050,2102.64,3746.83
202132803051,1951.7,4998.98
202132803052,323.7,0.0
202132803053,2635.29,5025.43
202132803054,2099.93,3690.34
202132803055,1854.09,1548.38
202132803056,158.9,3450.8
202132803057,1748.9,2475.5
202132803058,1975.34,3476.98
202132803059,1989.24,997.6
202132803060,1648.5,4015.0
202132803061,1578.69,2724.0
202132803062,1850.3,4120.26
202132803063,2384.24,2031.31
202132803064,209.4,0.0
202132803065,1468.21,2619.69
202132803066,1694.5,3804.54
202132803067,200.0,3393.4
202132803068,1699.3,3754.6
202132803070,878.6,885.0
202132803071,1828.34,4154.81
202132803072,2387.64,3762.38
202132803073,2574.7,5343.0
202132803074,2312.26,3497.95
202132803075,2462.25,4504.55
202132803076,1346.6,2089.27
202132803077,1870.8,3509.65
202132803078,254.8,0.0
202132803079,1635.47,3065.78
202132803081,975.1800000000001,3846.98
202132803082,1958.26,4119.08
202132803083,2517.63,4456.1
202132803084,149.48,0.0
202132803085,0.0,571.3
202132803086,1909.2,4404.31
202132803087,2594.36,5453.62
202132803088,1960.44,3181.82
202132803089,1442.5,3549.36
202132803090,33.5,4662.96
202132803091,1629.4,2515.53
202132803092,1912.17,4662.66
202132803093,298.93,5302.7
